runs_remaining,balls_remaining,wickets_remaining,rrr,win
222.0,119,10,11.19327731092437,0
221.0,118,10,11.23728813559322,0
221.0,117,10,11.333333333333334,0
220.0,116,10,11.379310344827587,0
219.0,115,10,11.426086956521738,0
219.0,114,10,11.526315789473685,0
219.0,113,10,11.628318584070797,0
219.0,113,9,11.628318584070797,0
219.0,112,9,11.732142857142856,0
215.0,111,9,11.621621621621621,0
214.0,110,9,11.672727272727274,0
214.0,109,9,11.779816513761467,0
214.0,108,9,11.88888888888889,0
214.0,107,9,12.0,0
214.0,106,8,12.11320754716981,0
213.0,105,8,12.17142857142857,0
213.0,104,8,12.28846153846154,0
212.0,103,8,12.349514563106796,0
212.0,102,8,12.470588235294118,0
211.0,101,8,12.534653465346535,0
209.0,101,8,12.415841584158416,0
208.0,100,8,12.479999999999999,0
208.0,99,8,12.606060606060606,0
207.0,98,8,12.673469387755103,0
207.0,97,8,12.804123711340205,0
207.0,96,8,12.9375,0
206.0,95,8,13.010526315789473,0
205.0,94,8,13.085106382978724,0
205.0,93,8,13.225806451612904,0
199.0,92,8,12.978260869565217,0
199.0,91,7,13.120879120879122,0
199.0,90,7,13.266666666666667,0
199.0,89,7,13.415730337078651,0
199.0,88,6,13.568181818181818,0
199.0,87,6,13.724137931034482,0
198.0,86,6,13.813953488372093,0
197.0,85,6,13.905882352941177,0
197.0,84,6,14.071428571428571,0
197.0,83,6,14.240963855421686,0
197.0,82,6,14.414634146341465,0
196.0,81,6,14.518518518518519,0
195.0,80,6,14.625,0
194.0,79,6,14.734177215189874,0
194.0,78,6,14.923076923076923,0
194.0,77,6,15.116883116883116,0
190.0,76,6,15.0,0
189.0,77,6,14.727272727272727,0
188.0,76,6,14.842105263157896,0
187.0,75,6,14.96,0
185.0,74,6,15.0,0
185.0,73,5,15.205479452054796,0
185.0,72,5,15.416666666666666,0
185.0,71,5,15.633802816901408,0
185.0,70,4,15.857142857142858,0
185.0,69,4,16.08695652173913,0
184.0,68,4,16.235294117647058,0
183.0,67,4,16.388059701492537,0
182.0,66,4,16.545454545454547,0
180.0,65,4,16.615384615384613,0
180.0,64,3,16.875,0
179.0,65,3,16.52307692307692,0
179.0,64,3,16.78125,0
179.0,63,3,17.047619047619047,0
178.0,62,3,17.225806451612904,0
177.0,61,3,17.40983606557377,0
173.0,60,3,17.3,0
172.0,59,3,17.491525423728813,0
172.0,59,3,17.491525423728813,0
172.0,58,3,17.793103448275865,0
172.0,57,3,18.105263157894736,0
171.0,56,3,18.32142857142857,0
167.0,55,3,18.21818181818182,0
167.0,54,3,18.555555555555557,0
166.0,53,2,18.79245283018868,0
166.0,52,2,19.153846153846157,0
166.0,51,2,19.529411764705884,0
165.0,50,2,19.799999999999997,0
165.0,49,2,20.20408163265306,0
164.0,48,2,20.5,0
158.0,47,2,20.170212765957448,0
156.0,46,2,20.34782608695652,0
155.0,45,2,20.666666666666668,0
154.0,44,2,21.0,0
154.0,43,2,21.488372093023255,0
154.0,42,2,22.0,0
153.0,41,2,22.390243902439025,0
153.0,41,1,22.390243902439025,0
152.0,40,1,22.8,0
152.0,39,1,23.384615384615383,0
152.0,38,1,24.0,0
152.0,37,1,24.64864864864865,0
146.0,36,1,24.333333333333332,0
145.0,35,1,24.857142857142858,0
145.0,34,1,25.588235294117645,0
145.0,33,1,26.363636363636363,0
144.0,32,1,27.0,0
143.0,31,1,27.677419354838708,0
142.0,30,1,28.4,0
142.0,29,1,29.379310344827587,0
141.0,29,1,29.17241379310345,0
141.0,28,0,30.21428571428571,0
237.0,119,10,11.949579831932773,0
237.0,118,10,12.050847457627118,0
237.0,117,10,12.153846153846153,0
236.0,116,10,12.206896551724139,0
236.0,115,10,12.31304347826087,0
232.0,114,10,12.210526315789474,0
231.0,113,10,12.265486725663717,0
231.0,112,10,12.375,0
230.0,111,10,12.432432432432432,0
230.0,110,10,12.545454545454547,0
226.0,109,10,12.440366972477063,0
225.0,108,10,12.5,0
224.0,107,10,12.560747663551403,0
220.0,106,10,12.452830188679245,0
220.0,105,10,12.571428571428571,0
216.0,104,10,12.461538461538462,0
215.0,103,10,12.524271844660193,0
214.0,102,10,12.588235294117647,0
214.0,101,10,12.712871287128714,0
214.0,100,10,12.84,0
213.0,99,10,12.909090909090908,0
212.0,98,10,12.979591836734695,0
210.0,97,10,12.989690721649483,0
204.0,96,10,12.75,0
204.0,95,10,12.884210526315789,0
204.0,94,10,13.02127659574468,0
203.0,93,10,13.096774193548388,0
202.0,92,10,13.17391304347826,0
198.0,91,10,13.054945054945055,0
194.0,90,10,12.933333333333334,0
